Target-ID	Compound-ID	Std-value
CHEMBL4282	CHEMBL596290	2.0
CHEMBL2959	CHEMBL481559	11.0
CHEMBL1974	CHEMBL2063321	16.0
CHEMBL3038477	CHEMBL3935146	10.0
CHEMBL4816	CHEMBL2325982	15.0
CHEMBL1844	CHEMBL4062178	20.0
CHEMBL4722	CHEMBL3680575	0.86
CHEMBL4722	CHEMBL482774	4.0
CHEMBL4179	CHEMBL3220499	0.51
CHEMBL279	CHEMBL3646211	1.83
CHEMBL2148	CHEMBL3665193	0.01071
CHEMBL5407	CHEMBL3937011	2.211
CHEMBL2971	CHEMBL3928338	11.0
CHEMBL1906	CHEMBL3309549	8.79
CHEMBL3629	CHEMBL3699295	0.16
CHEMBL3553	CHEMBL4111044	9.2
CHEMBL4282	CHEMBL3949523	5.9
CHEMBL4070	CHEMBL3699244	0.15
CHEMBL301	CHEMBL3648125	7.0
CHEMBL1974	CHEMBL3687195	0.46
CHEMBL4722	CHEMBL3904942	2.1
CHEMBL2147	CHEMBL3967572	0.8
CHEMBL203	CHEMBL3219348	6.26
CHEMBL2815	CHEMBL254702	11.0
CHEMBL3973	CHEMBL3922586	6.607
CHEMBL2815	CHEMBL3675980	7.7
CHEMBL203	CHEMBL1934624	9.0
CHEMBL279	CHEMBL3593291	7.0
CHEMBL3973	CHEMBL3917295	19.5
CHEMBL3650	CHEMBL3912831	2.344
CHEMBL301	CHEMBL452601	5.0
CHEMBL4282	CHEMBL448826	28.0
CHEMBL3616	CHEMBL2147543	13.0
CHEMBL260	CHEMBL215943	3.0
CHEMBL4816	CHEMBL2177369	12.0
CHEMBL2094126	CHEMBL147012	15.0
CHEMBL2147	CHEMBL3949318	0.0376
CHEMBL4722	CHEMBL3670487	5.0
CHEMBL2971	CHEMBL3642320	1.9
CHEMBL4070	CHEMBL3699300	1.43
CHEMBL4282	CHEMBL255835	21.0
CHEMBL2148	CHEMBL3967872	5.0
CHEMBL2095217	CHEMBL190980	5.3
CHEMBL4523	CHEMBL3899208	8.613
CHEMBL260	CHEMBL408070	10.0
CHEMBL331	CHEMBL3702206	13.0
CHEMBL260	CHEMBL3695574	7.0
CHEMBL2148	CHEMBL3665174	0.00773
CHEMBL4501	CHEMBL3680407	25.0
CHEMBL1981	CHEMBL3608525	12.0
CHEMBL203	CHEMBL4074601	12.1
CHEMBL3920	CHEMBL3892736	0.9
CHEMBL2292	CHEMBL3915647	2.76
CHEMBL4722	CHEMBL485186	1.0
CHEMBL4501	CHEMBL3961056	0.7
CHEMBL5407	CHEMBL3687472	1.28
CHEMBL5543	CHEMBL2386748	1.07
CHEMBL4282	CHEMBL597803	4.2
CHEMBL1907601	CHEMBL3237712	3.0
CHEMBL279	CHEMBL3593292	15.0
CHEMBL4501	CHEMBL3675432	2.7
CHEMBL2148	CHEMBL3650980	2.3
CHEMBL2815	CHEMBL3676101	10.1
CHEMBL2185	CHEMBL216769	2.0
CHEMBL4722	CHEMBL3680502	8.3
CHEMBL3650	CHEMBL3950169	3.311
CHEMBL3629	CHEMBL3681208	20.0
CHEMBL203	CHEMBL3676354	13.0
CHEMBL2147	CHEMBL3934584	2.0
CHEMBL299	CHEMBL265559	22.0
CHEMBL3231	CHEMBL374453	8.0
CHEMBL2185	CHEMBL3670470	0.52
CHEMBL1844	CHEMBL2158288	0.83
CHEMBL1868	CHEMBL3890520	13.0
CHEMBL4247	CHEMBL4109336	4.31
CHEMBL1974	CHEMBL1940268	5.0
CHEMBL3529	CHEMBL3639495	30.0
CHEMBL4142	CHEMBL3898355	3.388
CHEMBL4179	CHEMBL2204113	28.0
CHEMBL4523	CHEMBL3651908	10.0
